START_TIME,STOP_TIME,Posture_Indecipherable,Video_Insufficient,In_Position_Upright,In_Position_Sitting,In_Position_Reclining_Slouching,In_Position_Kneeling,Lying_On_Back,Lying_On_Left_Side,Lying_On_Right_Side,Lying_On_Stomach,Posture_Too_Complex
2022-04-12 17:33:25.462,2022-04-12 17:33:49.462000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 17:33:50.462,2022-04-12 17:34:14.462000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 17:34:15.462,2022-04-12 17:34:36.462000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 17:34:40.462,2022-04-12 17:35:10.462000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 17:35:10.462,2022-04-12 17:35:29.450000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 17:35:31.450,2022-04-12 17:35:59.450000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 17:35:59.450,2022-04-12 17:36:02.450000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 17:36:02.450,2022-04-12 17:36:17.450000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 17:36:17.450,2022-04-12 17:36:36.450000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 17:36:38.450,2022-04-12 17:37:19.450000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 17:37:19.450,2022-04-12 17:37:58.450000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 17:37:59.450,2022-04-12 17:38:04.437000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 17:38:05.437,2022-04-12 17:38:16.437000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 17:38:16.437,2022-04-12 17:38:23.437000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 17:38:23.437,2022-04-12 17:38:57.437000,0,0,0,1,0,0,0,0,0,0,0
2022-04-12 17:38:58.437,2022-04-12 17:39:34.437000,1,1,0,0,0,0,0,0,0,0,0
2022-04-12 17:39:35.437,2022-04-12 17:40:18.437000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 17:40:18.437,2022-04-12 17:41:11.425000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 17:41:13.425,2022-04-12 17:41:29.425000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 17:41:30.425,2022-04-12 17:41:44.425000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 17:41:44.425,2022-04-12 17:44:30.412000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 17:44:31.412,2022-04-12 17:46:31.400000,1,1,0,0,0,0,0,0,0,0,0
2022-04-12 17:46:31.400,2022-04-12 17:46:52.400000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 17:46:54.400,2022-04-12 17:48:36.387000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 17:48:36.387,2022-04-12 17:49:57.387000,0,0,0,1,0,0,0,0,0,0,0
2022-04-12 17:49:58.387,2022-04-12 17:50:17.387000,0,0,0,1,0,0,0,0,0,0,0
2022-04-12 17:50:20.387,2022-04-12 17:52:27.375000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 17:52:30.375,2022-04-12 17:53:30.375000,0,0,0,1,0,0,0,0,0,0,0
2022-04-12 17:53:30.375,2022-04-12 17:53:40.375000,0,0,0,1,0,0,0,0,0,0,0
2022-04-12 17:53:41.375,2022-04-12 17:57:49.350000,0,0,0,1,0,0,0,0,0,0,0
2022-04-12 17:57:50.350,2022-04-12 17:58:04.350000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 17:58:08.350,2022-04-12 17:59:32.337000,1,1,0,0,0,0,0,0,0,0,0
2022-04-12 17:59:32.337,2022-04-12 18:00:54.337000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:00:54.337,2022-04-12 18:00:56.337000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:00:58.337,2022-04-12 18:01:13.337000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:01:16.337,2022-04-12 18:02:07.325000,0,0,0,1,0,0,0,0,0,0,0
2022-04-12 18:02:07.325,2022-04-12 18:03:53.325000,0,0,0,1,0,0,0,0,0,0,0
2022-04-12 18:03:55.325,2022-04-12 18:04:32.312000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:04:32.312,2022-04-12 18:04:59.312000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:05:01.312,2022-04-12 18:05:55.312000,1,1,0,0,0,0,0,0,0,0,0
2022-04-12 18:05:56.312,2022-04-12 18:06:26.312000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:06:28.312,2022-04-12 18:16:16.262000,0,0,0,0,1,0,0,0,0,0,0
2022-04-12 18:16:17.262,2022-04-12 18:16:51.262000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:16:51.262,2022-04-12 18:16:55.262000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:16:55.262,2022-04-12 18:17:39.250000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:17:39.250,2022-04-12 18:18:06.250000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:18:07.250,2022-04-12 18:18:27.250000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:18:29.250,2022-04-12 18:18:43.250000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:18:45.250,2022-04-12 18:19:22.250000,0,0,0,0,0,1,0,0,0,0,0
2022-04-12 18:19:24.250,2022-04-12 18:19:36.250000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:19:37.250,2022-04-12 18:20:00.250000,0,0,0,1,0,0,0,0,0,0,0
2022-04-12 18:20:02.250,2022-04-12 18:20:23.237000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:20:24.237,2022-04-12 18:21:19.237000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:21:20.237,2022-04-12 18:21:41.237000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:21:43.237,2022-04-12 18:22:02.237000,0,0,0,1,0,0,0,0,0,0,0
2022-04-12 18:22:04.237,2022-04-12 18:22:48.237000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:22:48.237,2022-04-12 18:24:30.225000,0,0,0,1,0,0,0,0,0,0,0
2022-04-12 18:24:30.225,2022-04-12 18:24:58.225000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:24:58.225,2022-04-12 18:26:36.212000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:26:36.212,2022-04-12 18:26:58.212000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:26:59.212,2022-04-12 18:27:10.212000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:27:11.212,2022-04-12 18:27:16.212000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:27:17.212,2022-04-12 18:27:22.212000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:27:23.212,2022-04-12 18:27:51.212000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:27:52.212,2022-04-12 18:28:01.212000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:28:02.212,2022-04-12 18:28:10.200000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:28:10.200,2022-04-12 18:28:41.200000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:28:41.200,2022-04-12 18:29:00.200000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:29:01.200,2022-04-12 18:29:35.200000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:29:36.200,2022-04-12 18:29:47.200000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:29:47.200,2022-04-12 18:30:10.200000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:30:13.200,2022-04-12 18:31:14.187000,0,0,0,1,0,0,0,0,0,0,0
2022-04-12 18:31:22.187,2022-04-12 18:31:35.187000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:31:39.187,2022-04-12 18:35:38.175000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:35:40.175,2022-04-12 18:36:20.162000,0,0,0,1,0,0,0,0,0,0,0
2022-04-12 18:36:22.162,2022-04-12 18:36:32.162000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:36:34.162,2022-04-12 18:36:38.162000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:36:38.162,2022-04-12 18:36:50.162000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:36:51.162,2022-04-12 18:37:05.162000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:37:05.162,2022-04-12 18:37:19.162000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:37:20.162,2022-04-12 18:37:42.162000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:37:42.162,2022-04-12 18:39:38.150000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:39:39.150,2022-04-12 18:40:10.150000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:40:12.150,2022-04-12 18:40:13.150000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:40:14.150,2022-04-12 18:40:31.150000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:40:31.150,2022-04-12 18:40:39.150000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:40:40.150,2022-04-12 18:40:56.150000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:40:57.150,2022-04-12 18:41:35.137000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:41:36.137,2022-04-12 18:41:55.137000,0,0,0,0,0,1,0,0,0,0,0
2022-04-12 18:41:56.137,2022-04-12 18:42:33.137000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:42:34.137,2022-04-12 18:43:06.137000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:43:07.137,2022-04-12 18:43:28.137000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:43:32.137,2022-04-12 18:45:31.125000,0,0,0,1,0,0,0,0,0,0,0
2022-04-12 18:45:33.125,2022-04-12 18:45:56.125000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:45:58.125,2022-04-12 18:48:43.112000,0,0,0,1,0,0,0,0,0,0,0
2022-04-12 18:48:44.112,2022-04-12 18:49:08.112000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:49:08.112,2022-04-12 18:49:19.100000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:49:19.100,2022-04-12 18:51:10.100000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:51:11.100,2022-04-12 18:52:24.087000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:52:25.087,2022-04-12 18:53:14.087000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:53:17.087,2022-04-12 18:56:06.075000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:56:06.075,2022-04-12 18:56:27.075000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:56:27.075,2022-04-12 18:57:32.062000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 18:57:32.062,2022-04-12 19:01:35.050000,0,0,0,1,0,0,0,0,0,0,0
2022-04-12 19:01:35.050,2022-04-12 19:02:09.050000,0,0,0,1,0,0,0,0,0,0,0
2022-04-12 19:02:09.050,2022-04-12 19:03:20.037000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 19:03:20.037,2022-04-12 19:17:45.975000,0,0,0,1,0,0,0,0,0,0,0
2022-04-12 19:17:45.975,2022-04-12 19:18:59.962000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 19:18:59.962,2022-04-12 19:20:03.962000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 19:20:03.962,2022-04-12 19:20:13.962000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 19:20:13.962,2022-04-12 19:21:02.950000,0,0,0,1,0,0,0,0,0,0,0
2022-04-12 19:21:02.950,2022-04-12 19:33:12.900000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 19:33:12.900,2022-04-12 19:34:48.887000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 19:34:48.887,2022-04-12 19:38:13.875000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 19:38:13.875,2022-04-12 19:38:27.875000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 19:38:27.875,2022-04-12 19:39:19.862000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 19:39:19.862,2022-04-12 19:39:30.862000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 19:39:30.862,2022-04-12 19:40:15.862000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 19:40:15.862,2022-04-12 19:40:55.862000,0,0,0,1,0,0,0,0,0,0,0
2022-04-12 19:40:55.862,2022-04-12 19:41:22.862000,1,1,0,0,0,0,0,0,0,0,0
2022-04-12 19:41:22.862,2022-04-12 19:42:06.850000,0,0,0,0,1,0,0,0,0,0,0
2022-04-12 19:42:06.850,2022-04-12 19:42:11.850000,0,0,0,1,0,0,0,0,0,0,0
2022-04-12 19:42:11.850,2022-04-12 19:43:44.850000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 19:43:44.850,2022-04-12 19:43:59.850000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 19:44:01.850,2022-04-12 19:44:41.837000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 19:44:41.837,2022-04-12 19:44:55.837000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 19:44:55.837,2022-04-12 19:45:02.837000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 19:45:02.837,2022-04-12 19:45:58.837000,0,0,0,1,0,0,0,0,0,0,0
2022-04-12 19:46:00.837,2022-04-12 19:46:36.837000,0,0,0,1,0,0,0,0,0,0,0
2022-04-12 19:46:36.837,2022-04-12 19:47:34.825000,1,1,0,0,0,0,0,0,0,0,0
2022-04-12 19:47:34.825,2022-04-12 19:49:00.825000,0,0,0,1,0,0,0,0,0,0,0
2022-04-12 19:49:00.825,2022-04-12 19:49:07.825000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 19:49:07.825,2022-04-12 19:49:31.825000,0,0,0,0,0,1,0,0,0,0,0
2022-04-12 19:49:31.825,2022-04-12 19:50:03.812000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 19:50:03.812,2022-04-12 19:51:06.812000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 19:51:07.812,2022-04-12 19:51:56.812000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 19:51:56.812,2022-04-12 19:52:38.800000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 19:52:38.800,2022-04-12 19:53:40.800000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 19:53:40.800,2022-04-12 19:53:57.800000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 19:53:57.800,2022-04-12 19:55:59.787000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 19:55:59.787,2022-04-12 19:56:04.787000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 19:56:04.787,2022-04-12 19:56:23.787000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 19:56:23.787,2022-04-12 19:56:48.787000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 19:56:48.787,2022-04-12 20:03:30.750000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 20:03:30.750,2022-04-12 20:03:43.750000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 20:03:43.750,2022-04-12 20:04:22.750000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 20:04:22.750,2022-04-12 20:06:26.737000,0,0,0,1,0,0,0,0,0,0,0
2022-04-12 20:06:31.737,2022-04-12 20:07:12.737000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 20:07:12.737,2022-04-12 20:07:40.737000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 20:07:40.737,2022-04-12 20:13:32.712000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 20:13:32.712,2022-04-12 20:14:11.700000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 20:14:11.700,2022-04-12 20:14:51.700000,1,1,0,0,0,0,0,0,0,0,0
2022-04-12 20:14:51.700,2022-04-12 20:16:18.687000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 20:16:18.687,2022-04-12 20:17:47.687000,1,1,0,0,0,0,0,0,0,0,0
2022-04-12 20:17:47.687,2022-04-12 20:20:04.675000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 20:20:04.675,2022-04-12 20:20:50.675000,0,0,0,1,0,0,0,0,0,0,0
2022-04-12 20:20:50.675,2022-04-12 20:21:23.675000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 20:21:23.675,2022-04-12 20:21:43.662000,1,1,0,0,0,0,0,0,0,0,0
2022-04-12 20:21:43.662,2022-04-12 20:22:05.662000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 20:22:05.662,2022-04-12 20:23:48.662000,0,0,0,1,0,0,0,0,0,0,0
2022-04-12 20:23:48.662,2022-04-12 20:25:13.650000,0,0,0,1,0,0,0,0,0,0,0
2022-04-12 20:25:13.650,2022-04-12 20:31:50.625000,0,0,0,1,0,0,0,0,0,0,0
2022-04-12 20:31:50.625,2022-04-12 20:37:11.600000,0,0,0,1,0,0,0,0,0,0,0
2022-04-12 20:37:11.600,2022-04-12 20:38:07.587000,0,0,0,1,0,0,0,0,0,0,0
2022-04-12 20:38:07.587,2022-04-12 20:40:10.575000,0,0,0,1,0,0,0,0,0,0,0
2022-04-12 20:40:10.575,2022-04-12 20:40:35.575000,0,0,0,1,0,0,0,0,0,0,0
2022-04-12 20:40:37.575,2022-04-12 20:45:14.550000,0,0,0,1,0,0,0,0,0,0,0
2022-04-12 20:45:22.550,2022-04-12 20:46:03.550000,0,0,0,1,0,0,0,0,0,0,0
2022-04-12 20:47:17.550,2022-04-12 20:52:42.525000,0,0,0,1,0,0,0,0,0,0,0
2022-04-12 20:52:51.525,2022-04-12 20:54:08.512000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 20:54:16.512,2022-04-12 20:57:48.500000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 20:57:57.500,2022-04-12 20:58:36.487000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 20:58:37.487,2022-04-12 21:00:14.487000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 21:00:15.487,2022-04-12 21:00:38.487000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 21:00:41.487,2022-04-12 21:03:28.475000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 21:03:34.475,2022-04-12 21:04:12.462000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 21:04:14.462,2022-04-12 21:05:14.462000,0,0,0,1,0,0,0,0,0,0,0
2022-04-12 21:05:23.462,2022-04-12 21:05:46.462000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 21:05:49.462,2022-04-12 21:06:27.450000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 21:06:44.450,2022-04-12 21:12:39.425000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 21:12:42.425,2022-04-12 21:19:01.400000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 21:19:06.400,2022-04-12 21:19:36.387000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 21:19:46.387,2022-04-12 21:38:15.300000,0,0,0,1,0,0,0,0,0,0,0
2022-04-12 21:38:27.300,2022-04-12 21:38:48.300000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 21:38:52.300,2022-04-12 21:40:50.287000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 21:40:57.287,2022-04-12 21:42:02.287000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 21:42:53.287,2022-04-12 21:48:36.250000,0,0,0,1,0,0,0,0,0,0,0
2022-04-12 21:48:44.250,2022-04-12 21:52:36.237000,0,0,0,1,0,0,0,0,0,0,0
2022-04-12 21:52:48.237,2022-04-12 22:26:14.075000,0,0,0,0,0,0,1,0,0,0,0
2022-04-12 22:26:17.075,2022-04-12 22:26:52.075000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 22:26:55.075,2022-04-12 22:27:15.075000,0,0,0,0,0,0,1,0,0,0,0
2022-04-12 22:27:27.075,2022-04-12 23:36:15.750000,0,0,0,1,0,0,0,0,0,0,0
2022-04-12 23:36:16.750,2022-04-13 00:12:05.575000,1,1,0,0,0,0,0,0,0,0,0
2022-04-13 00:12:10.575,2022-04-13 00:14:58.562000,0,0,0,1,0,0,0,0,0,0,0
2022-04-13 00:15:05.562,2022-04-13 00:53:04.375000,0,0,0,0,0,0,0,1,0,0,0
2022-04-13 00:53:14.375,2022-04-13 00:55:15.375000,1,1,0,0,0,0,0,0,0,0,0
2022-04-13 00:55:30.375,2022-04-13 00:57:39.362000,0,0,1,0,0,0,0,0,0,0,0
2022-04-13 00:58:36.350,2022-04-13 00:58:55.350000,0,0,1,0,0,0,0,0,0,0,0
2022-04-13 00:59:00.350,2022-04-13 01:02:25.337000,0,0,0,1,0,0,0,0,0,0,0
2022-04-13 01:02:32.337,2022-04-13 01:02:56.337000,0,0,1,0,0,0,0,0,0,0,0
2022-04-13 01:02:57.337,2022-04-13 01:04:21.325000,0,0,0,1,0,0,0,0,0,0,0
2022-04-13 01:04:26.325,2022-04-13 01:06:04.325000,0,0,0,1,0,0,0,0,0,0,0
2022-04-13 01:06:07.325,2022-04-13 01:07:02.312000,0,0,0,1,0,0,0,0,0,0,0
2022-04-13 01:07:06.312,2022-04-13 01:07:28.312000,0,0,0,1,0,0,0,0,0,0,0
2022-04-13 01:07:38.312,2022-04-13 01:08:57.300000,0,0,0,1,0,0,0,0,0,0,0
2022-04-13 01:09:24.300,2022-04-13 01:10:20.300000,0,0,1,0,0,0,0,0,0,0,0
2022-04-13 01:10:36.300,2022-04-13 01:10:55.300000,0,0,1,0,0,0,0,0,0,0,0
2022-04-13 09:30:32.825,2022-04-13 09:30:43.825000,0,0,1,0,0,0,0,0,0,0,0
2022-04-13 09:30:43.825,2022-04-13 09:33:15.825000,0,0,0,1,0,0,0,0,0,0,0
2022-04-13 09:33:21.825,2022-04-13 09:39:47.825000,0,0,0,1,0,0,0,0,0,0,0
2022-04-13 09:39:51.825,2022-04-13 09:39:57.825000,0,0,0,1,0,0,0,0,0,0,0
2022-04-13 09:40:01.825,2022-04-13 09:46:25.825000,0,0,0,1,0,0,0,0,0,0,0
2022-04-13 09:46:29.825,2022-04-13 09:55:29.812000,0,0,0,1,0,0,0,0,0,0,0
2022-04-13 09:55:33.812,2022-04-13 09:57:51.812000,1,1,0,0,0,0,0,0,0,0,0
2022-04-13 09:57:58.812,2022-04-13 09:58:51.812000,0,0,0,1,0,0,0,0,0,0,0
2022-04-13 09:58:59.812,2022-04-13 10:04:55.812000,1,1,0,0,0,0,0,0,0,0,0
2022-04-13 10:05:00.812,2022-04-13 10:08:19.812000,0,0,1,0,0,0,0,0,0,0,0
2022-04-13 10:08:24.812,2022-04-13 10:08:42.812000,0,0,1,0,0,0,0,0,0,0,0
2022-04-13 10:08:48.812,2022-04-13 10:09:21.812000,0,0,1,0,0,0,0,0,0,0,0
2022-04-13 10:09:23.812,2022-04-13 10:10:36.812000,0,0,1,0,0,0,0,0,0,0,0
2022-04-13 10:10:40.812,2022-04-13 10:10:50.812000,0,0,1,0,0,0,0,0,0,0,0
2022-04-13 10:10:53.812,2022-04-13 10:11:38.812000,0,0,1,0,0,0,0,0,0,0,0
2022-04-13 10:11:42.812,2022-04-13 10:12:24.812000,0,0,1,0,0,0,0,0,0,0,0
2022-04-13 10:12:30.812,2022-04-13 10:12:57.812000,0,0,1,0,0,0,0,0,0,0,0
2022-04-13 10:13:02.812,2022-04-13 10:13:50.812000,0,0,1,0,0,0,0,0,0,0,0
2022-04-13 10:13:55.812,2022-04-13 10:16:44.812000,0,0,0,1,0,0,0,0,0,0,0
2022-04-13 10:16:49.812,2022-04-13 10:17:43.812000,0,0,1,0,0,0,0,0,0,0,0
2022-04-13 10:17:46.812,2022-04-13 10:17:59.812000,0,0,0,1,0,0,0,0,0,0,0
2022-04-13 10:18:03.812,2022-04-13 10:18:53.812000,0,0,1,0,0,0,0,0,0,0,0
2022-04-13 10:18:59.812,2022-04-13 10:19:42.812000,0,0,1,0,0,0,0,0,0,0,0
2022-04-13 10:19:44.812,2022-04-13 10:20:13.812000,0,0,1,0,0,0,0,0,0,0,0
2022-04-13 10:20:14.812,2022-04-13 10:26:29.812000,0,0,1,0,0,0,0,0,0,0,0
2022-04-13 10:26:31.812,2022-04-13 10:26:36.812000,0,0,1,0,0,0,0,0,0,0,0
2022-04-13 10:26:39.812,2022-04-13 10:26:57.812000,0,0,1,0,0,0,0,0,0,0,0
2022-04-13 10:27:00.812,2022-04-13 10:27:25.812000,0,0,1,0,0,0,0,0,0,0,0
2022-04-13 10:27:29.812,2022-04-13 10:27:34.812000,0,0,0,1,0,0,0,0,0,0,0
2022-04-13 10:27:37.812,2022-04-13 10:28:31.812000,0,0,0,1,0,0,0,0,0,0,0
