START_TIME,STOP_TIME,Posture_Indecipherable,Video_Insufficient,In_Position_Sitting,In_Position_Upright,Lying_On_Back,Lying_On_Left_Side,In_Position_Reclining_Slouching,In_Position_Kneeling,Posture_Other)
2022-03-29 21:25:33.537,2022-03-29 21:25:44.537,0,0,0,1,0,0,0,0,0
2022-03-29 21:25:45.537,2022-03-29 21:26:08.537,0,0,0,1,0,0,0,0,0
2022-03-29 21:26:08.537,2022-03-29 21:26:26.537,0,0,0,1,0,0,0,0,0
2022-03-29 21:26:26.537,2022-03-29 21:34:05.537,0,0,0,1,0,0,0,0,0
2022-03-29 21:34:05.537,2022-03-29 21:34:15.537,0,0,0,1,0,0,0,0,0
2022-03-29 21:34:15.537,2022-03-29 21:34:19.537,0,0,0,1,0,0,0,0,0
2022-03-29 21:34:19.537,2022-03-29 21:34:58.537,0,0,0,1,0,0,0,0,0
2022-03-29 21:34:58.537,2022-03-29 21:35:23.537,0,0,0,1,0,0,0,0,0
2022-03-29 21:35:23.537,2022-03-29 21:35:34.537,0,0,0,1,0,0,0,0,0
2022-03-29 21:35:34.537,2022-03-29 21:36:54.537,0,0,0,1,0,0,0,0,0
2022-03-29 21:36:54.537,2022-03-29 23:14:25.537,1,1,0,0,0,0,0,0,0
2022-03-29 23:14:25.537,2022-03-29 23:24:48.537,0,0,1,0,0,0,0,0,0
2022-03-29 23:24:49.537,2022-03-29 23:43:52.537,0,0,1,0,0,0,0,0,0
2022-03-29 23:43:52.537,2022-03-29 23:46:39.537,0,0,1,0,0,0,0,0,0
2022-03-29 23:46:39.537,2022-03-29 23:46:59.537,0,0,0,1,0,0,0,0,0
2022-03-29 23:46:59.537,2022-03-30 00:01:14.537,0,0,1,0,0,0,0,0,0
2022-03-30 00:01:14.537,2022-03-30 00:22:03.537,0,0,1,0,0,0,0,0,0
2022-03-30 00:22:03.537,2022-03-30 00:24:26.537,0,0,1,0,0,0,0,0,0
2022-03-30 00:24:26.537,2022-03-30 00:26:20.537,0,0,1,0,0,0,0,0,0
2022-03-30 00:26:20.537,2022-03-30 00:28:57.537,0,0,1,0,0,0,0,0,0
2022-03-30 00:28:57.537,2022-03-30 00:31:07.537,0,0,1,0,0,0,0,0,0
2022-03-30 00:31:07.537,2022-03-30 00:31:25.537,0,0,0,1,0,0,0,0,0
2022-03-30 00:31:25.537,2022-03-30 00:31:58.537,0,0,0,1,0,0,0,0,0
2022-03-30 00:31:58.537,2022-03-30 00:32:23.537,0,0,0,1,0,0,0,0,0
2022-03-30 11:29:41.262,2022-03-30 11:35:26.250,0,0,1,0,0,0,0,0,0
2022-03-30 11:35:36.250,2022-03-30 11:40:39.225,0,0,0,1,0,0,0,0,0
2022-03-30 11:40:48.225,2022-03-30 11:45:07.212,0,0,0,1,0,0,0,0,0
2022-03-30 11:45:16.212,2022-03-30 11:47:30.200,0,0,1,0,0,0,0,0,0
2022-03-30 12:23:11.075,2022-03-30 12:23:52.075,0,0,0,1,0,0,0,0,0
2022-03-30 12:25:04.075,2022-03-30 12:25:34.075,0,0,1,0,0,0,0,0,0
2022-03-30 12:25:42.075,2022-03-30 12:27:19.062,0,0,1,0,0,0,0,0,0
2022-03-30 12:27:29.062,2022-03-30 12:34:32.037,0,0,0,1,0,0,0,0,0
2022-03-30 12:34:45.037,2022-03-30 12:39:11.025,1,1,0,0,0,0,0,0,0
2022-03-30 12:39:34.025,2022-03-30 12:41:12.012,0,0,0,1,0,0,0,0,0
2022-03-30 12:41:21.012,2022-03-30 12:41:37.012,0,0,0,1,0,0,0,0,0
2022-03-30 12:41:44.012,2022-03-30 12:42:48.012,0,0,0,1,0,0,0,0,0
2022-03-30 12:42:56.012,2022-03-30 12:43:11.012,0,0,0,1,0,0,0,0,0
2022-03-30 12:43:13.012,2022-03-30 12:43:34.012,0,0,0,1,0,0,0,0,0
2022-03-30 12:43:35.012,2022-03-30 12:47:34.000,0,0,0,1,0,0,0,0,0
2022-03-30 12:49:18.987,2022-03-30 12:50:02.987,0,0,0,1,0,0,0,0,0
2022-03-30 12:50:08.987,2022-03-30 12:51:24.987,0,0,1,0,0,0,0,0,0
2022-03-30 12:51:32.987,2022-03-30 12:52:24.975,0,0,0,1,0,0,0,0,0
2022-03-30 12:52:28.975,2022-03-30 13:00:19.950,0,0,1,0,0,0,0,0,0
2022-03-30 13:00:27.950,2022-03-30 13:01:00.950,0,0,0,1,0,0,0,0,0
2022-03-30 13:01:02.950,2022-03-30 13:02:07.950,0,0,0,1,0,0,0,0,0
2022-03-30 13:02:09.950,2022-03-30 13:02:41.937,0,0,0,1,0,0,0,0,0
2022-03-30 13:02:47.937,2022-03-30 13:05:46.937,0,0,1,0,0,0,0,0,0
2022-03-30 13:05:53.937,2022-03-30 13:06:49.925,0,0,0,1,0,0,0,0,0
2022-03-30 13:06:57.925,2022-03-30 13:08:13.925,0,0,0,1,0,0,0,0,0
2022-03-30 13:08:18.925,2022-03-30 13:08:47.925,0,0,0,1,0,0,0,0,0
2022-03-30 13:08:51.925,2022-03-30 13:17:23.887,1,1,0,0,0,0,0,0,0
2022-03-30 13:17:31.887,2022-03-30 13:18:01.887,0,0,0,1,0,0,0,0,0
2022-03-30 13:18:10.887,2022-03-30 13:18:19.887,0,0,0,1,0,0,0,0,0
2022-03-30 13:18:23.887,2022-03-30 13:20:20.887,0,0,0,1,0,0,0,0,0
2022-03-30 13:20:24.875,2022-03-30 13:20:44.875,0,0,0,1,0,0,0,0,0
2022-03-30 13:20:47.875,2022-03-30 13:22:08.875,0,0,0,1,0,0,0,0,0
2022-03-30 13:22:12.875,2022-03-30 13:22:28.875,0,0,0,1,0,0,0,0,0
2022-03-30 13:22:31.875,2022-03-30 13:26:07.862,0,0,1,0,0,0,0,0,0
2022-03-30 13:26:11.862,2022-03-30 13:27:28.862,0,0,0,1,0,0,0,0,0
2022-03-30 13:27:41.850,2022-03-30 13:29:30.850,0,0,0,1,0,0,0,0,0
2022-03-30 13:29:34.850,2022-03-30 13:37:56.825,1,1,0,0,0,0,0,0,0
2022-03-30 13:38:10.825,2022-03-30 13:38:34.812,0,0,0,1,0,0,0,0,0
2022-03-30 13:38:41.812,2022-03-30 13:39:04.812,0,0,1,0,0,0,0,0,0
2022-03-30 13:39:11.812,2022-03-30 13:44:36.800,0,0,1,0,0,0,0,0,0
2022-03-30 13:44:49.800,2022-03-30 13:45:24.800,0,0,1,0,0,0,0,0,0
2022-03-30 13:45:31.800,2022-03-30 13:48:35.787,0,0,1,0,0,0,0,0,0
2022-03-30 13:48:48.787,2022-03-30 13:49:05.787,0,0,1,0,0,0,0,0,0
2022-03-30 13:49:12.775,2022-03-30 13:51:35.775,0,0,1,0,0,0,0,0,0
2022-03-30 13:51:40.775,2022-03-30 13:53:05.762,0,0,0,1,0,0,0,0,0
2022-03-30 13:53:15.762,2022-03-30 14:12:32.700,0,0,1,0,0,0,0,0,0
2022-03-30 14:12:36.700,2022-03-30 14:13:10.700,0,0,0,1,0,0,0,0,0
2022-03-30 14:13:15.700,2022-03-30 14:13:39.700,0,0,1,0,0,0,0,0,0
2022-03-30 14:13:42.700,2022-03-30 14:13:51.700,0,0,0,1,0,0,0,0,0
2022-03-30 14:13:54.700,2022-03-30 14:14:01.700,0,0,0,1,0,0,0,0,0
2022-03-30 14:14:02.700,2022-03-30 14:14:09.700,0,0,0,1,0,0,0,0,0
2022-03-30 14:14:12.700,2022-03-30 14:14:39.687,0,0,1,0,0,0,0,0,0
2022-03-30 14:14:41.687,2022-03-30 14:15:01.687,0,0,0,1,0,0,0,0,0
2022-03-30 14:15:13.687,2022-03-30 14:21:45.662,0,0,1,0,0,0,0,0,0
2022-03-30 14:21:57.662,2022-03-30 14:27:44.650,0,0,1,0,0,0,0,0,0
2022-03-30 14:27:54.650,2022-03-30 14:29:19.637,0,0,1,0,0,0,0,0,0
2022-03-30 14:29:26.637,2022-03-30 14:30:07.637,0,0,1,0,0,0,0,0,0
2022-03-30 14:30:12.637,2022-03-30 14:32:57.625,0,0,1,0,0,0,0,0,0
2022-03-30 14:33:03.625,2022-03-30 14:34:33.625,0,0,1,0,0,0,0,0,0
2022-03-30 14:34:39.625,2022-03-30 14:35:13.625,0,0,0,1,0,0,0,0,0
2022-03-30 14:35:21.625,2022-03-30 14:36:02.612,0,0,0,1,0,0,0,0,0
2022-03-30 14:36:09.612,2022-03-30 14:37:36.612,0,0,0,1,0,0,0,0,0
2022-03-30 14:37:40.612,2022-03-30 14:42:24.600,0,0,0,1,0,0,0,0,0
2022-03-30 14:42:28.600,2022-03-30 14:42:55.600,0,0,0,1,0,0,0,0,0
2022-03-30 14:43:00.600,2022-03-30 14:46:31.587,0,0,0,1,0,0,0,0,0
2022-03-30 14:46:34.587,2022-03-30 14:46:36.587,0,0,0,1,0,0,0,0,0
2022-03-30 14:46:38.587,2022-03-30 14:46:45.587,0,0,0,1,0,0,0,0,0
2022-03-30 14:46:46.587,2022-03-30 14:47:05.575,0,0,0,1,0,0,0,0,0
2022-03-30 14:47:06.575,2022-03-30 14:47:21.575,0,0,0,1,0,0,0,0,0
2022-03-30 14:47:23.575,2022-03-30 14:47:41.575,0,0,0,1,0,0,0,0,0
2022-03-30 14:47:43.575,2022-03-30 14:47:50.575,0,0,0,1,0,0,0,0,0
2022-03-30 14:47:52.575,2022-03-30 14:48:18.575,0,0,0,1,0,0,0,0,0
2022-03-30 14:48:20.575,2022-03-30 14:48:35.575,0,0,0,1,0,0,0,0,0
2022-03-30 14:48:39.575,2022-03-30 14:50:28.562,0,0,0,1,0,0,0,0,0
2022-03-30 14:50:31.562,2022-03-30 14:50:45.562,0,0,0,1,0,0,0,0,0
2022-03-30 14:50:47.562,2022-03-30 14:50:53.562,0,0,0,1,0,0,0,0,0
2022-03-30 14:50:55.562,2022-03-30 14:51:18.562,0,0,0,1,0,0,0,0,0
2022-03-30 14:51:22.562,2022-03-30 14:52:01.562,0,0,0,1,0,0,0,0,0
2022-03-30 14:52:04.562,2022-03-30 14:52:18.562,0,0,0,1,0,0,0,0,0
2022-03-30 14:52:21.562,2022-03-30 14:53:12.562,0,0,0,1,0,0,0,0,0
2022-03-30 14:53:18.562,2022-03-30 14:58:37.537,0,0,0,1,0,0,0,0,0
2022-03-30 14:58:44.537,2022-03-30 15:54:50.350,0,0,0,1,0,0,0,0,0
2022-03-30 15:55:03.350,2022-03-30 15:55:39.337,0,0,0,1,0,0,0,0,0
2022-03-30 15:55:44.337,2022-03-30 16:08:04.300,0,0,0,1,0,0,0,0,0
2022-03-30 16:08:22.300,2022-03-30 16:09:44.287,0,0,0,1,0,0,0,0,0
2022-03-30 16:09:51.287,2022-03-30 16:09:57.287,0,0,0,1,0,0,0,0,0
2022-03-30 16:10:00.287,2022-03-30 16:11:49.287,0,0,0,1,0,0,0,0,0
2022-03-30 16:11:54.287,2022-03-30 16:12:33.287,0,0,0,1,0,0,0,0,0
2022-03-30 16:12:37.287,2022-03-30 16:15:25.275,0,0,0,1,0,0,0,0,0
2022-03-30 16:15:31.275,2022-03-30 16:16:58.262,0,0,0,1,0,0,0,0,0
2022-03-30 16:17:02.262,2022-03-30 16:17:44.262,0,0,0,1,0,0,0,0,0
2022-03-30 16:17:48.262,2022-03-30 16:19:30.262,0,0,0,1,0,0,0,0,0
2022-03-30 16:19:35.262,2022-03-30 16:20:50.250,0,0,0,1,0,0,0,0,0
2022-03-30 16:20:53.250,2022-03-30 16:21:26.250,0,0,0,1,0,0,0,0,0
2022-03-30 16:21:31.250,2022-03-30 16:22:30.250,0,0,0,1,0,0,0,0,0
2022-03-30 16:22:35.250,2022-03-30 16:25:48.237,0,0,0,1,0,0,0,0,0
2022-03-30 16:25:51.237,2022-03-30 16:26:02.237,0,0,0,1,0,0,0,0,0
2022-03-30 16:26:04.237,2022-03-30 16:26:23.237,0,0,0,1,0,0,0,0,0
2022-03-30 16:26:26.237,2022-03-30 16:26:35.237,0,0,0,1,0,0,0,0,0
2022-03-30 16:26:38.237,2022-03-30 16:26:45.237,0,0,0,1,0,0,0,0,0
2022-03-30 16:26:48.237,2022-03-30 16:26:58.237,0,0,0,1,0,0,0,0,0
2022-03-30 16:27:01.237,2022-03-30 16:28:26.225,0,0,0,1,0,0,0,0,0
2022-03-30 16:28:31.225,2022-03-30 16:30:04.225,0,0,0,1,0,0,0,0,0
2022-03-30 16:30:13.225,2022-03-30 16:32:40.212,0,0,0,1,0,0,0,0,0
2022-03-30 16:32:45.212,2022-03-30 16:33:17.212,0,0,0,1,0,0,0,0,0
2022-03-30 16:33:22.212,2022-03-30 16:34:25.212,0,0,0,1,0,0,0,0,0
2022-03-30 16:34:28.212,2022-03-30 16:34:35.212,0,0,0,1,0,0,0,0,0
2022-03-30 16:34:40.212,2022-03-30 16:35:15.200,0,0,0,1,0,0,0,0,0
2022-03-30 16:35:18.200,2022-03-30 16:35:29.200,0,0,0,1,0,0,0,0,0
2022-03-30 16:35:31.200,2022-03-30 16:35:49.200,0,0,0,1,0,0,0,0,0
2022-03-30 16:35:52.200,2022-03-30 16:36:07.200,0,0,0,1,0,0,0,0,0
2022-03-30 16:36:10.200,2022-03-30 16:36:31.200,0,0,0,1,0,0,0,0,0
2022-03-30 16:36:34.200,2022-03-30 16:36:35.200,0,0,0,1,0,0,0,0,0
2022-03-30 16:36:38.200,2022-03-30 16:41:42.187,0,0,0,1,0,0,0,0,0
2022-03-30 16:41:46.187,2022-03-30 16:42:41.175,0,0,0,1,0,0,0,0,0
2022-03-30 16:42:44.175,2022-03-30 16:43:14.175,0,0,0,1,0,0,0,0,0
2022-03-30 16:43:18.175,2022-03-30 16:45:56.162,0,0,0,1,0,0,0,0,0
2022-03-30 16:46:02.162,2022-03-30 16:46:24.162,0,0,0,1,0,0,0,0,0
2022-03-30 16:46:30.162,2022-03-30 16:47:07.162,0,0,0,1,0,0,0,0,0
2022-03-30 16:47:13.162,2022-03-30 16:48:24.162,0,0,0,1,0,0,0,0,0
2022-03-30 16:48:28.162,2022-03-30 16:50:04.150,0,0,0,1,0,0,0,0,0
2022-03-30 16:50:07.150,2022-03-30 16:50:19.150,0,0,0,1,0,0,0,0,0
2022-03-30 16:50:22.150,2022-03-30 16:51:15.150,0,0,0,1,0,0,0,0,0
2022-03-30 16:51:18.150,2022-03-30 16:51:30.150,0,0,0,1,0,0,0,0,0
2022-03-30 16:51:32.150,2022-03-30 16:51:55.150,0,0,0,1,0,0,0,0,0
2022-03-30 16:51:56.150,2022-03-30 16:52:03.150,0,0,0,1,0,0,0,0,0
2022-03-30 16:52:05.150,2022-03-30 16:52:14.150,0,0,0,1,0,0,0,0,0
2022-03-30 16:52:17.150,2022-03-30 16:52:27.150,0,0,0,1,0,0,0,0,0
2022-03-30 16:52:30.150,2022-03-30 16:52:40.150,0,0,1,0,0,0,0,0,0
2022-03-30 16:52:44.150,2022-03-30 16:57:05.125,0,0,1,0,0,0,0,0,0
2022-03-30 16:57:14.125,2022-03-30 16:57:34.125,0,0,0,1,0,0,0,0,0
2022-03-30 16:57:38.125,2022-03-30 16:57:51.125,0,0,0,1,0,0,0,0,0
2022-03-30 16:57:57.125,2022-03-30 16:58:02.125,0,0,0,1,0,0,0,0,0
2022-03-30 16:58:10.125,2022-03-30 16:59:04.125,0,0,0,1,0,0,0,0,0
2022-03-30 16:59:07.125,2022-03-30 16:59:22.125,0,0,0,1,0,0,0,0,0
2022-03-30 16:59:24.125,2022-03-30 16:59:38.125,0,0,0,1,0,0,0,0,0
2022-03-30 16:59:41.125,2022-03-30 17:00:12.112,0,0,0,1,0,0,0,0,0
2022-03-30 17:00:15.112,2022-03-30 17:00:50.112,0,0,0,1,0,0,0,0,0
2022-03-30 17:00:53.112,2022-03-30 17:00:59.112,0,0,0,1,0,0,0,0,0
2022-03-30 17:01:01.112,2022-03-30 17:01:21.112,0,0,0,1,0,0,0,0,0
2022-03-30 17:01:52.112,2022-03-30 17:02:12.112,0,0,0,1,0,0,0,0,0
2022-03-30 17:02:14.112,2022-03-30 17:02:53.112,0,0,0,1,0,0,0,0,0
2022-03-30 17:02:56.112,2022-03-30 17:04:27.100,0,0,0,1,0,0,0,0,0
2022-03-30 17:05:54.100,2022-03-30 17:21:50.037,0,0,1,0,0,0,0,0,0
2022-03-30 17:21:57.037,2022-03-30 17:25:10.037,0,0,1,0,0,0,0,0,0
2022-03-30 17:25:15.025,2022-03-30 17:30:04.012,0,0,0,1,0,0,0,0,0
2022-03-30 17:30:08.012,2022-03-30 17:30:25.012,0,0,0,1,0,0,0,0,0
2022-03-30 17:30:28.012,2022-03-30 17:30:39.012,0,0,0,1,0,0,0,0,0
2022-03-30 17:30:42.012,2022-03-30 17:31:05.012,0,0,0,1,0,0,0,0,0
2022-03-30 17:31:09.012,2022-03-30 17:46:09.962,1,1,0,0,0,0,0,0,0
2022-03-30 17:46:15.962,2022-03-30 17:47:33.950,0,0,0,1,0,0,0,0,0
2022-03-30 17:47:36.950,2022-03-30 17:48:09.950,0,0,0,1,0,0,0,0,0
2022-03-30 17:48:12.950,2022-03-30 17:48:26.950,0,0,0,1,0,0,0,0,0
2022-03-30 17:48:28.950,2022-03-30 17:49:18.950,0,0,0,1,0,0,0,0,0
2022-03-30 17:49:24.950,2022-03-30 17:50:09.950,0,0,0,1,0,0,0,0,0
2022-03-30 17:50:14.950,2022-03-30 17:52:02.937,0,0,0,1,0,0,0,0,0
2022-03-30 17:52:08.937,2022-03-30 17:54:48.925,0,0,0,1,0,0,0,0,0
2022-03-30 17:54:53.925,2022-03-30 17:55:24.925,0,0,0,1,0,0,0,0,0
2022-03-30 17:55:28.925,2022-03-30 17:56:01.925,0,0,0,1,0,0,0,0,0
2022-03-30 17:56:05.925,2022-03-30 17:56:16.925,0,0,0,1,0,0,0,0,0
2022-03-30 17:56:27.925,2022-03-30 19:48:58.537,1,1,0,0,0,0,0,0,0
2022-03-30 19:49:05.537,2022-03-30 19:54:17.512,0,0,1,0,0,0,0,0,0
2022-03-30 19:54:29.512,2022-03-30 19:55:13.512,0,0,1,0,0,0,0,0,0
2022-03-30 19:55:15.512,2022-03-30 19:56:03.512,0,0,1,0,0,0,0,0,0
2022-03-30 19:57:13.500,2022-03-30 19:58:19.500,0,0,0,1,0,0,0,0,0
2022-03-30 19:58:20.500,2022-03-30 19:58:31.500,0,0,0,1,0,0,0,0,0
2022-03-30 19:58:32.500,2022-03-30 19:58:57.500,0,0,0,1,0,0,0,0,0
2022-03-30 19:58:58.500,2022-03-30 19:59:04.500,0,0,0,1,0,0,0,0,0
2022-03-30 19:59:08.500,2022-03-30 19:59:15.500,0,0,0,1,0,0,0,0,0
2022-03-30 19:59:17.500,2022-03-30 19:59:58.500,0,0,0,1,0,0,0,0,0
2022-03-30 19:59:59.500,2022-03-30 20:00:05.487,0,0,0,1,0,0,0,0,0
2022-03-30 20:00:07.487,2022-03-30 20:00:36.487,0,0,0,1,0,0,0,0,0
2022-03-30 20:00:37.487,2022-03-30 20:00:49.487,0,0,0,1,0,0,0,0,0
2022-03-30 20:00:54.487,2022-03-30 20:02:07.487,0,0,0,1,0,0,0,0,0
2022-03-30 20:02:11.487,2022-03-30 20:02:25.487,0,0,0,1,0,0,0,0,0
2022-03-30 20:02:33.487,2022-03-30 20:03:00.487,0,0,0,1,0,0,0,0,0
2022-03-30 20:03:02.487,2022-03-30 20:03:09.487,0,0,0,1,0,0,0,0,0
2022-03-30 20:03:10.487,2022-03-30 20:03:42.475,0,0,0,1,0,0,0,0,0
2022-03-30 20:03:49.475,2022-03-31 00:46:17.500,1,1,0,0,0,0,0,0,0
2022-03-31 01:03:05.187,2022-03-31 01:03:30.187,0,0,1,0,0,0,0,0,0
2022-03-31 01:03:30.187,2022-03-31 01:03:53.175,0,0,0,1,0,0,0,0,0
2022-03-31 01:03:54.175,2022-03-31 01:03:59.175,0,0,0,1,0,0,0,0,0
2022-03-31 01:03:59.175,2022-03-31 01:04:30.175,0,0,0,1,0,0,0,0,0
2022-03-31 01:04:39.175,2022-03-31 01:05:25.162,0,0,0,1,0,0,0,0,0
2022-03-31 01:05:30.162,2022-03-31 01:05:48.162,0,0,0,1,0,0,0,0,0
2022-03-31 01:05:50.162,2022-03-31 01:06:30.162,0,0,0,1,0,0,0,0,0
2022-03-31 01:06:40.162,2022-03-31 01:06:58.150,0,0,0,1,0,0,0,0,0
2022-03-31 01:06:59.150,2022-03-31 01:07:27.150,0,0,0,1,0,0,0,0,0
2022-03-31 01:07:28.150,2022-03-31 01:08:59.137,0,0,0,1,0,0,0,0,0
2022-03-31 01:09:04.137,2022-03-31 01:09:15.137,0,0,1,0,0,0,0,0,0
2022-03-31 01:09:16.137,2022-03-31 01:11:40.112,0,0,1,0,0,0,0,0,0
2022-03-31 01:11:42.112,2022-03-31 01:11:55.112,0,0,1,0,0,0,0,0,0
2022-03-31 01:11:56.112,2022-03-31 01:13:34.100,0,0,1,0,0,0,0,0,0
2022-03-31 01:13:39.100,2022-03-31 01:14:16.100,0,0,1,0,0,0,0,0,0
2022-03-31 01:14:18.100,2022-03-31 01:17:21.075,0,0,1,0,0,0,0,0,0
2022-03-31 01:17:23.075,2022-03-31 01:31:39.950,0,0,1,0,0,0,0,0,0
2022-03-31 01:31:40.950,2022-03-31 01:32:22.950,0,0,1,0,0,0,0,0,0
2022-03-31 01:32:24.950,2022-03-31 01:32:40.950,0,0,1,0,0,0,0,0,0
2022-03-31 01:32:42.950,2022-03-31 01:32:54.937,0,0,1,0,0,0,0,0,0
2022-03-31 01:32:57.937,2022-03-31 01:34:28.925,0,0,1,0,0,0,0,0,0
2022-03-31 01:34:31.925,2022-03-31 01:34:37.925,0,0,1,0,0,0,0,0,0
2022-03-31 01:34:43.925,2022-03-31 01:38:07.900,0,0,1,0,0,0,0,0,0
2022-03-31 01:38:08.900,2022-03-31 01:38:50.900,0,0,1,0,0,0,0,0,0
2022-03-31 01:38:52.887,2022-03-31 01:42:11.862,0,0,1,0,0,0,0,0,0
2022-03-31 01:42:25.862,2022-03-31 01:42:55.862,0,0,0,1,0,0,0,0,0
2022-03-31 01:43:00.862,2022-03-31 01:43:26.862,0,0,0,1,0,0,0,0,0
2022-03-31 01:43:27.850,2022-03-31 01:44:22.850,0,0,0,1,0,0,0,0,0
2022-03-31 01:44:23.850,2022-03-31 01:45:22.837,0,0,0,1,0,0,0,0,0
2022-03-31 01:45:23.837,2022-03-31 01:46:13.837,0,0,0,1,0,0,0,0,0
2022-03-31 01:46:14.837,2022-03-31 01:46:25.837,0,0,0,1,0,0,0,0,0
2022-03-31 01:46:26.837,2022-03-31 01:46:31.825,0,0,0,1,0,0,0,0,0
2022-03-31 01:46:33.825,2022-03-31 01:46:59.825,0,0,0,1,0,0,0,0,0
2022-03-31 01:47:01.825,2022-03-31 01:47:14.825,0,0,0,1,0,0,0,0,0
2022-03-31 01:47:16.825,2022-03-31 01:47:58.825,0,0,0,1,0,0,0,0,0
2022-03-31 01:48:00.825,2022-03-31 01:48:23.812,0,0,0,1,0,0,0,0,0
2022-03-31 01:48:25.812,2022-03-31 01:48:41.812,0,0,0,1,0,0,0,0,0
2022-03-31 01:48:42.812,2022-03-31 01:49:00.812,0,0,0,1,0,0,0,0,0
2022-03-31 01:49:01.812,2022-03-31 01:50:51.800,0,0,0,1,0,0,0,0,0
2022-03-31 01:50:55.800,2022-03-31 01:51:18.787,0,0,0,1,0,0,0,0,0
2022-03-31 01:51:21.787,2022-03-31 01:51:51.787,0,0,0,1,0,0,0,0,0
2022-03-31 01:51:53.787,2022-03-31 01:52:10.787,0,0,0,1,0,0,0,0,0
2022-03-31 01:52:12.787,2022-03-31 01:52:44.775,0,0,0,1,0,0,0,0,0
2022-03-31 01:52:45.775,2022-03-31 01:53:10.775,0,0,0,1,0,0,0,0,0
2022-03-31 01:53:12.775,2022-03-31 01:53:50.775,0,0,0,1,0,0,0,0,0
2022-03-31 01:53:58.775,2022-03-31 01:54:08.775,0,0,0,1,0,0,0,0,0
2022-03-31 01:54:10.762,2022-03-31 01:55:43.750,0,0,0,1,0,0,0,0,0
2022-03-31 01:55:48.750,2022-03-31 01:58:27.737,0,0,0,1,0,0,0,0,0
2022-03-31 01:58:29.737,2022-03-31 01:58:49.725,0,0,0,1,0,0,0,0,0
2022-03-31 01:58:54.725,2022-03-31 01:59:15.725,0,0,0,1,0,0,0,0,0
2022-03-31 01:59:20.725,2022-03-31 02:00:02.725,0,0,0,1,0,0,0,0,0
2022-03-31 02:00:04.725,2022-03-31 02:00:19.712,0,0,1,0,0,0,0,0,0
2022-03-31 02:00:22.712,2022-03-31 02:00:33.712,0,0,1,0,0,0,0,0,0
2022-03-31 02:00:37.712,2022-03-31 02:10:24.637,0,0,1,0,0,0,0,0,0
